Variable,Value
# MetaSave,# Infos -tremisabdoul
SaveName,Save 1
PlayerName,Name
GameType,Rogue
# Player[0],# Statistics -tremisabdoul
Game.Player.Pv,100
Game.Player.MaxPv,100
Game.Player.Damage,10.0
Game.Player.Speed,3.0
Game.Player.SpeedY,-16.60000000000001
Game.Player.Level,1
Game.Player.Gold,100
Game.Player.Armor,0
Game.Player.Mana,60
# Player[1],# Statistique Variable -steven
Game.Player.CDR,0.0
Game.Player.AttackSpeed,0.0
Game.Player.CCHit,130.0
Game.Player.CCSpell,3.0
Game.Player.CCDamage,3.0
Game.Player.Penetration,0
Game.Player.ManaRegen,2.0
Game.Player.XP_Multiplicator,1.0
Game.Player.Damage.Multiplicator,1.0
# Player[2],# Position -tremisabdoul
Game.Player.rect.x,358
Game.Player.rect.y,328
Game.Player.rect.height,120
Game.Player.rect.width,120
Game.Player.LastY,342
Game.Player.YVector,14
Game.PositionPlayer,960
# Phisics,# Actual Movement of Player -tremisabdoul
Game.Player.Force.lastx,2.7330584991113946
Game.Player.Base_Gravity,3.5999999999999996
Game.Monster.Base_Gravity,0
Game.Player.Force.x,0
